Name,Pokedex Number,Generation,Stage,Egg Group 1,Egg Grioup 2,Type 1,Type 2,Baby Stage,Evolves By,Basic Stage,Evolves By,Stage 1,Evolves By,Stage 2,Evolves By,Basic Stage Alternative 1,Evolves By,Basic Stage Alternative 2,Evolves By,Stage 1 Alternate 1,Evolves By,Stage 1 Alternate 2,Evolves By,Stage 1 Alternate 3,Evolves By,Stage 1 Alternate 4,Evolves By,Stage 1 Alternate 5,Evolves By,Stage 1 Alternate 6,Evolves By,Stage 1 Alternate 7,Evolves By,Stage 2 Alternate,,,,,,,,,,,,,,,,,,,,,,,
Raticate,20,1,2,Field,,Normal,,,,Rattata,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Raticate,20,1,2,Field,,Normal,Dark,,,Alolan Rattata,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spearow,21,1,1,Flying,,Normal,Flying,,,this,Level Up,Fearow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fearow,22,1,2,Flying,,Normal,Flying,,,Ferow,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekans,23,1,1,Field,Dragon,Poison,,,,this,Level Up,Arbok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbok,24,1,2,Field,Dragon,Poison,,,,Ekans,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pikachu,25,1,1,Field,Fairy,Electric,,Pichu,Friendship,this,Thunder Stone,Raichu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raichu,26,1,2,Field,Fairy,Electric,,Pichu,Friendship,Pikachu,Thunder Stone,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Raichu,26,1,2,Field,Fairy,Electric,Psychic,Pichu,Friendship,Pikachu,Thunder Stone,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandshrew,27,1,1,Field,,Ground,,,,this,Level Up,Sandslash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Sandshrew,27,1,1,Field,,Ice,,,,this,Level Up,Alolan Sandslash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandslash,28,1,2,Field,,Ground,,,,Sandshrew,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Sandslash,28,1,2,Field,,Ice,Steel,,,Alolan Sandshrew,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidoran (F),29,1,1,Monster,Field,Poison,,,,this,Level Up,Nidorina,Moon Stone,NidoQueen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidorina,30,1,2,Undiscovered,,Poison,,,,Nidoran (Female),Level Up,this,Moon Stone,NidoQueen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidoqueen,31,1,3,Undiscovered,,Poison,Ground,,,Nidoran (Female),Level Up,Nidorina,Moon Stone,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidoran (M),32,1,1,Monster,Field,Poison,,,,this,Level Up,Nidorino,Moon Stone,NidoKing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidorino,33,1,2,Monster,Field,Poison,,,,Nidoran (Male),Level Up,this,Moon Stone,NidoKing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidoking,34,1,3,Monster,Field,Poison,Ground,,,Nidoran (Male),Level Up,Nidorino,Moon Stone,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clefairy,35,1,1,Fairy,,Fairy,,Cleffa,Level Up,this,Moon Stone,Clefable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clefable,36,1,2,Fairy,,Fairy,,Cleffa,Level Up,Clefairy,Moon Stone,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vulpix,37,1,1,Field,,Fire,,,,this,Fire Stone,Ninetales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Vulpix,37,1,1,Field,,Ice,,,,this,Fire Stone,Alolan Ninetales,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ninetales,38,1,2,Field,,Fire,,,,Vulpix,Fire Stone,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Ninetales,38,1,2,Field,,Ice,Fairy,,,Alolan Vulpix,Fire Stone,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jigglypuff,39,1,1,Fairy,,Normal,Fairy,Igglybuff,Level Up,this,Moon Stone,Wigglyfuff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wigglytuff,40,1,2,Fairy,,Normal,Fairy,Igglybuff,Level Up,Jigglypuff,Moon Stone,this,Friendship,Crobat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zubat,41,1,1,Flying,,Poison,Flying,,,this,Level Up,Golbat,Friendship,Crobat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golbat,42,1,2,Flying,,Poison,Flying,,,,Level Up,this,Friendship,Crobat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oddish ,43,1,1,Grass,,Grass,Poison,,,this,Level Up,Gloom,Leaf Stone,Vileplume,,,,,,,,,,,,,,,,,,,Sun Stone,Bellossum,,,,,,,,,,,,,,,,,,,,,,,
Gloom,44,1,2,Grass,,Grass,Poison,,,Oddish,Level Up,this,Leaf Stone,Vileplume,,,,,,,,,,,,,,,,,,,Sun Stone,Bellossum,,,,,,,,,,,,,,,,,,,,,,,
Vileplume,45,1,3,Grass,,Grass,Poison,,,Oddish,Level Up,Gloom,Leaf Stone,this,,,,,,,,,,,,,,,,,,,Sun Stone,Bellossum,,,,,,,,,,,,,,,,,,,,,,,
Paras,46,1,1,Bug,Grass,Grass,Bug,,,this,Level Up,Parasect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parasect,47,1,2,Bug,Grass,Grass,Bug,,,Paras,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venonat,48,1,1,Bug,,Bug,Poison,,,this,Level Up,Venomoth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venomoth,49,1,2,Bug,,Bug,Poison,,,Venonat,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diglett,50,1,1,Field,,Ground,,,,this,Level Up,Dugtrio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Diglett,50,1,1,Field,,Ground,Steel,,,this,Level Up,Alolan Dugtrio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dugtrio,51,1,2,Field,,Ground,,,,Diglett,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Dugtrio,51,1,2,Field,,Ground,Steel,,,Alolan Diglett,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meowth,52,1,1,Field,,Normal,,,,this,Level Up,Persian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Meowth,52,1,1,Field,,Normal,Dark,,,this,Level Up,Alolan Persian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galarian Meowth,52,1,1,Field,,Steel,,,,this,Level Up,Perrserker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Persian,53,1,2,Field,,Normal,,,,this,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Persian,53,1,2,Field,,Normal,Dark,,,Alolan Meowth,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Psyduck,54,1,1,Water 1,Field,Water,,,,this,Level Up,Golduck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golduck,55,1,2,Water 1,Field,Water,,,,Psyduck,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mankey,56,1,1,Field,,Fighting,,,,this,Level Up,Primeape,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primeape,57,1,2,Field,,Fighting,,,,Mankey,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Growlithe,58,1,1,Field,,Fire,,,,this,Fire Stone,Arcanine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arcanine,59,1,2,Field,,Fire,,,,Growlithe,Fire Stone,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poliwag,60,1,1,Water 1,,Water,,,,this,Level Up,Poliwhirl,Water Stone,Poliwrath,,,,,,,,,,,,,,,,,,,Trade with Kings Rock,Politoed,,,,,,,,,,,,,,,,,,,,,,,
Poliwhirl,61,1,2,Water 1,,Water,,,,Poliwag,Level Up,this,Water Stone,Poliwrath,,,,,,,,,,,,,,,,,,,Trade with Kings Rock,Politoed,,,,,,,,,,,,,,,,,,,,,,,
Poliwrath,62,1,3,Water 1,,Water,Fighting,,,Poliwag,Level Up,Poliwhirl,Water Stone,this,,,,,,,,,,,,,,,,,,,Trade with Kings Rock,Politoed,,,,,,,,,,,,,,,,,,,,,,,
Abra,63,1,1,Human-Like,,Psychic,,,,this,Level Up,Kadabra,Trade,Alakazam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kadabra,64,1,2,Human-Like,,Psychic,,,,Abra,Level Up,this,Trade,Alakazam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alakazam,65,1,3,Human-Like,,Psychic,,,,Abra,Level Up,Kadabra,Trade,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machop,66,1,1,Human-Like,,Fighting,,,,this,Level Up,Machoke,Trade,Machamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machoke,67,1,2,Human-Like,,Fighting,,,,Machop,Level Up,this,Trade,Machamp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Machamp,68,1,3,Human-Like,,Fighting,,,,Machop,Level Up,Machoke,Trade,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bellsprout,69,1,1,Grass,,Grass,Poison,,,this,Level Up,Weepinbell,Leaf Stone,Victreebel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weepinbell,70,1,2,Grass,,Grass,Poison,,,Bellsprout,Level Up,this,Leaf Stone,Victreebel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Victreebel,71,1,3,Grass,,Grass,Poison,,,Bellsprout,Level Up,Weepinbell,Leaf Stone,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentacool,72,1,1,Water 3,,Water,Poison,,,this,Level Up,Tentacrule,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tentacruel,73,1,2,Water 3,,Water,Poison,,,Tentacool,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Geodude,74,1,1,Minearl,,Rock,Ground,,,this,Level Up,Graveller,Trade,Golem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Geodude,74,1,1,Minearl,,Rock,Electric,,,this,Level Up,Alolan Graveller,Trade,Alolan Golem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graveller,75,1,2,Minearl,,Rock,Ground,,,Geodude,Level Up,this,Trade,Golem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Graveller,75,1,2,Minearl,,Rock,Electric,,,Alolan Geodude,Level Up,this,Trade,Alolan Golem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golem,76,1,3,Minearl,,Rock,Ground,,,Geodude,Level Up,Graveller,Trade,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Golem,76,1,3,Minearl,,Rock,Electric,,,Alolan Geodude,Level Up,Alolan Graveller,Trade,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ponyta,77,1,1,Field,,Fire,,,,this,Level Up,Rapidash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galarian Ponyta,77,1,1,Field,,Psychic,,,,this,Level Up,Galarian Rapidash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapidash,78,1,2,Field,,Fire,,,,Ponyta,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galarian Rapidash,78,1,2,Field,,Psychic,,,,Galarian Ponyta,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowpoke,79,1,1,Monster,Water 1,Water,Psychic,,,this,Level Up,Slowbro,,,,,,,Trade with Kings Rock,Slowking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galarian Slowpoke,79,1,1,Monster,Water 1,Psychic,Poison,,,this,Give Galarica Cuff,Galarian Slowbro,,,,,,,Give Galarica Wreath,Galarian Slowking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Slowbro,80,1,2,Monster,Water 1,Water,Psychic,,,Slowpoke,Level Up,this,,,,,,,Trade with Kings Rock,Slowking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galarian Slowbro,80,1,2,Monster,Water 1,Psychic,Poison,,,Galarian Slowpoke,Galarica Cuff,this,,,,,,,Galarica Wreath,Galarian Slowking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnemite,81,1,1,Minearl,,Electric,Steel,,,this,Level Up,Magneton,Level Up in High Voltage area (Gen 4 - 7) or Thunder Stone (Gen 8+),Magnezone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magneton,82,1,2,Minearl,,Electric,Steel,,,Magnemite,Level Up,this,Level Up in High Voltage area (Gen 4 - 7) or Thunder Stone (Gen 8+),Magnezone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farfetch d,83,1,1,Flying,Field,Normal,Flying,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galarian Farfetch d,83,1,1,Flying,Field,Fighting,,,,this,Score 3 Critical Hits in a single battle,Sirfetch d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doduo,84,1,1,Flying,,Normal,Flying,,,this,Level Up,Dodrio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dodrio,85,1,2,Flying,,Normal,Flying,,,Doduo,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seel,86,1,1,Water 1,Field,Water,Ice,,,this,Level Up,Dewgong,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dewgong,87,1,2,Water 1,Field,Water,Ice,,,Seel,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grimer,88,1,1,Amorphous,,Poison,,,,this,Level Up,Muk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Grimer,88,1,1,Amorphous,,Poison,Dark,,,this,Level Up,Alolan Muk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muk,89,1,2,Amorphous,,Poison,,,,Grimer,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Muk,89,1,2,Amorphous,,Poison,Dark,,,Alolan Grimer,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shellder,90,1,1,Water 3,,Water,,,,this,Water Stone,Cloyster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloyster,91,1,2,Water 3,,Water,Ice,,,Shellder,Water Stone,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gastly,92,1,1,Amorphous,,Ghost,Poison,,,this,Level Up,Haunter,Trade,Gengar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haunter,93,1,2,Amorphous,,Ghost,Poison,,,Gastly,Level Up,this,Trade,Gengar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gengar,94,1,3,Amorphous,,Ghost,Poison,,,Gastly,Level Up,Haunter,Trade,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onix,95,1,1,Minearl,,Rock,Ground,,,this,Trade with Metal Coat,Steelix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drowzee,96,1,1,Human-Like,,Psychic,,,,this,Level Up,Hypno,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypno,97,1,2,Human-Like,,Psychic,,,,Drowzee,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Krabby,98,1,1,Water 3,,Water,,,,this,Level Up,Kingler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kingler,99,1,2,Water 3,,Water,,,,Krabby,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Voltorb,100,1,1,Minearl,,Electric,,,,this,Level Up,Electrode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electrode,101,1,2,Minearl,,Electric,,,,Voltorb,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exeggcute,102,1,1,Grass,,Grass,Psychic,,,this,Leaf Stone,Exeggcutor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Exeggutor,103,1,2,Grass,,Grass,Psychic,,,Exeggcute,Leaf Stone,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Exeggutor,103,1,2,Grass,,Grass,Dragon,,,Exeggcute,Leaf Stone in Alola,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cubone,104,1,1,Monster,,Ground,,,,this,Level Up,Marowak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marowak,105,1,2,Monster,,Ground,,,,Cubone,Level Up in Alola,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Marowak,105,1,2,Monster,,Fire,Ghost,,,Cubone,Level Up in Alola,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitmonlee,106,1,1,Human-Like,,Fighting,,Tyrogue,Level Up with Attack higher than Defence,this,,,,,Level Up with Defence higher than Attack,Hitmonchan,Level Up with Attack equal to Defence,Hitmontop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hitmonchan,107,1,1,Human-Like,,Fighting,,Tyrogue,Level Up with Attack higher than Defence,Hitmonlee,,,,,Level Up with Defence higher than Attack,this,Level Up with Attack equal to Defence,Hitmontop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lickitung,108,1,1,Monster,,Normal,,,,this,Level Up with Double Slap,Lickilicky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Koffing,109,1,1,Amorphous,,Poison,,,,this,Level Up,Weezing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weezing,110,1,2,Amorphous,,Poison,,,,Koffing,Level Up,this,,,,,,,Level Up,Galarian Weezing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galarian Weezing,110,1,2,Amorphous,,Poison,Fairy,,,Koffing,Level Up,Weezing,,,,,,,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhyhorn,111,1,1,Monster,Field,Rock,Ground,,,this,Level Up,Rhydon,Trade with Protector,Rhyperior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rhydon,112,1,2,Monster,Field,Rock,Ground,,,Rhyhorn,Level Up,this,Trade with Protector,Rhyperior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chansey,113,1,1,Fairy,,Normal,,Happiny,Level Up while Holding an Oval Stone during the day,this,Friendship,Blissey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangela,114,1,1,Grass,,Grass,,,,this,Level Up with Ancient Power,Tangrowth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kangaskhan,115,1,1,Monster,,Normal,,,,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Horsea,116,1,1,Water 1,Dragon,Water,,,,this,Level Up,Seadra,Trade with Dragon Scale,Kingdra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seadra,117,1,2,Water 1,Dragon,Water,,,,Horsea,Level Up,this,Trade with Dragon Scale,Kingdra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Goldeen,118,1,1,Water 2,,Water,,,,this,Level Up,Seaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seaking,119,1,2,Water 2,,Water,,,,Goldeen,Level Up,this,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
