Method Name,Game,Type,Effected By Shiny Charm,Automatically Applied,Chance of Being Applied,Chain/Encounter/etc Required,Odds,Odds (Percent),Odds (1/x),Shiny Charm Odds,Shiny Charm Odds (Percent),Shiny Charm Odds (1/x),Description,Pokemon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poke Radar,Pearl,Chain Length,No,Yes,1,9,0.000167842,0.0167842,5958,0.000167842,0.0167842,5958,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,9,0.000167842,0.0167842,5958,0.000167842,0.0167842,5958,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,12,0.000183117,0.0183117,5461,0.000183117,0.0183117,5461,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,12,0.000183117,0.0183117,5461,0.000183117,0.0183117,5461,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,12,0.000183117,0.0183117,5461,0.000183117,0.0183117,5461,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,14,0.000198373,0.0198373,5041,0.000198373,0.0198373,5041,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,14,0.000198373,0.0198373,5041,0.000198373,0.0198373,5041,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
Poke Radar,Platinum,Chain Length,No,Yes,1,14,0.000198373,0.0198373,5041,0.000198373,0.0198373,5041,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Stantler,Smeargle,Tyrogue,Miltank,Poochyena,Swellow,Kirlia,Nincada,Loudred,Torkoal,Baltoy,Bagon,,,,,,,,
Poke Radar,Diamond,Chain Length,No,Yes,1,16,0.00021363,0.021363,4681,0.00021363,0.021363,4681,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Smeargle,Tyrogue,Miltank,Larvitar,Mightyena,Swellow,Ralts,Kirlia,Nincada,Loudred,Aron,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Kecleon,Duskull,Dusclops,Snorunt
Poke Radar,Pearl,Chain Length,No,Yes,1,16,0.00021363,0.021363,4681,0.00021363,0.021363,4681,"Activating the Poke Radar will cause up to four patches of grass to shake, as the chain length increases, so does the shiny chance",Nidoran Female,Nidorina,Nidoran Male,Nidorino,Venonat,Venomoth,Mankey,Primeape,Slowpoke,Grimer,Tauros,Ditto,Sentret,Togepi,Mareep,Flaaffy,Hoppip,Skiploom,Sunkern,Wobbuffet,Houndoom,Stantler,Smeargle,Tyrogue,Miltank,Swellow,Ralts,Kirlia,Nincada,Loudred,Torkoal,Trapinch,Vibrava,Swablu,Baltoy,Duskull,Dusclops,Snorunt,Bagon
