Name,Pokedex Number,Go,Shiny Available in Go,Red,Blue,Yellow,Gold,Silver,Crystal,Ruby,Sapphire,Emerald,Fire Red,Leaf Green,Diamond,Pearl,Platinum,Heart Gold,Soul Silver,Black,White,Black 2,White 2,X,Y,Omega Ruby,Alpha Sapphire,Sun,Moon,Ultra Sun,Ultra Moon,Lets Go Pikachu,Lets Go Eevee,Sword,Shield,Brilliant Diamond,Shining Pearl,Legends Arceus,Sexual Dimorphism,Mega Evolution,Gigantamax Form,Alternate Forms,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metapod,11,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Evolve,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butterfree,12,Yes,Yes,Evolve,Evolve,Evolve,Yes,Yes,Yes,No,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Evolve,Yes,Yes,Unknown,Unknown,Unknown,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weedle,13,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kakuna,14,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Beedrill,15,Yes,Yes,Evolve,Evolve,No,Yes,Yes,Yes,No,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,Yes,Yes,Yes,No,Yes,No,Evolve,Evolve,Evolve,Evolve,No,No,Yes,Yes,Evolve,Yes,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgey,16,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgeotto,17,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Evolve,Evolve,Evolve,Yes,Yes,No,Evolve,No,No,Evolve,Evolve,Yes,Yes,No,No,Evolve,Evolve,Yes,Yes,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pidgeot,18,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,No,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,No,Evolve,No,No,Evolve,Evolve,Evolve,Evolve,No,No,Evolve,Evolve,Yes,Yes,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rattata,19,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,Yes,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Rattata,19,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,Yes,Trade,Trade,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,Yes,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Raticate,20,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,Yes,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Raticate,20,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,Yes,Evolve,Evolve,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,Yes,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Spearow,21,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fearow,22,Yes,Yes,Evolve,Evolve,Evolve,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ekans,23,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arbok,24,Yes,Yes,Yes,No,No,Evolve,Yes,Yes,No,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Evolve,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pikachu,25,Yes,Yes,Yes,Yes,Starter Only,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Raichu,26,Yes,Yes,Yes,Yes,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,No,No,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Yes,Yes,Evolve,Evolve,Unknown,Yes,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Raichu,26,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Evolve,Evolve,Trade,Trade,No,No,Unknown,Unknown,Unknown,No,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandshrew,27,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Sandshrew,27,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,No,Yes,No,Yes,Trade,No,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Sandslash,28,Yes,Yes,No,Yes,Yes,Yes,Evolve,Yes,Evolve,Evolve,Evolve,No,Evolve,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Evolve,Evolve,No,No,No,No,Evolve,No,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Sandslash,28,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,No,Evolve,No,Evolve,Evolve,No,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidoran (F),29,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidorina,30,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Evolve,Evolve,Evolve,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidoqueen,31,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,No,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,No,Evolve,Evolve,Evolve,Evolve,Evolve,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidoran (M),32,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidorino,33,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Evolve,Evolve,Evolve,Yes,Yes,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nidoking,34,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,No,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,No,Evolve,Evolve,Evolve,Evolve,Evolve,No,No,No,No,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clefairy,35,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clefable,36,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,No,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Yes,Yes,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Yes,Yes,Yes,Yes,Evolve,Evolve,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vulpix,37,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Vulpix,37,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,No,Yes,No,Trade,Trade,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Ninetales,38,Yes,Yes,No,Evolve,Evolve,No,Evolve,No,Evolve,Evolve,Evolve,No,Evolve,Evolve,Evolve,Evolve,No,Evolve,Yes,Yes,Yes,Yes,Yes,Yes,Evolve,Evolve,No,No,No,No,No,Yes,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Ninetales,38,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,No,Evolve,No,Evolve,Evolve,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Jigglypuff,39,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wigglytuff,40,Yes,Yes,Yes,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Yes,Yes,Yes,Yes,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zubat,41,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Golbat,42,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Evolve,Evolve,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oddish ,43,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gloom,44,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Evolve,No,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,Unknown,Unknown,Unknown,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vileplume,45,Yes,Yes,Evolve,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,No,Evolve,Evolve,Evolve,Evolve,Evolve,No,Evolve,No,No,Evolve,Evolve,Evolve,Evolve,No,No,No,No,Evolve,No,Yes,Yes,Unknown,Unknown,Unknown,Yes,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paras,46,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parasect,47,Yes,Yes,Yes,Yes,Yes,Evolve,Evolve,Yes,No,No,No,Yes,Yes,Evolve,Evolve,Evolve,Yes,Yes,No,Evolve,No,No,Evolve,Evolve,Evolve,Evolve,Evolve,Evolve,Yes,Yes,Evolve,Evolve,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venonat,48,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,Yes,Yes,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Venomoth,49,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Evolve,Evolve,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Unobtainable,Unobtainable,Unknown,Unknown,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Diglett,50,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Diglett,50,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,Yes,Trade,Trade,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Dugtrio,51,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Evolve,Evolve,No,No,No,No,Yes,Yes,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Dugtrio,51,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,Yes,Evolve,Evolve,Yes,Yes,Unknown,Unknown,Unknown,No,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Meowth,52,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,Unknown,Unknown,Unknown,No,No,Yes,Kantonian,Alolan,Galarian,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Meowth,52,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Yes,Yes,Trade,Trade,No,No,Unknown,Unknown,Unknown,No,No,Yes,Kantonian,Alolan,Galarian,,,,,,,,,,,,,,,,,,,,,,,,,
Galarian Meowth,52,Yes,No,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Yes,Yes,Unknown,Unknown,Unknown,No,No,Yes,Kantonian,Alolan,Galarian,,,,,,,,,,,,,,,,,,,,,,,,,
Persian,53,Yes,Yes,No,Evolve,No,No,Yes,Yes,No,No,Evolve,Yes,Yes,Evolve,Evolve,Evolve,No,Yes,No,No,Evolve,Evolve,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Unknown,Unknown,Unknown,No,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Alolan Persian,53,Yes,Yes,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Unobtainable,Evolve,Evolve,Yes,Yes,Yes,Yes,No,No,Unknown,Unknown,Unknown,No,No,No,Kantonian,Alolan,,,,,,,,,,,,,,,,,,,,,,,,,,
Psyduck,54,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Unknown,No,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
